# kind<TAB>name<TAB>runtime-check
asset	payload-source-index	/opt/security-assets/payloads/payload-sources.tsv
asset	payload-file-index	/opt/security-assets/payloads/payload-repository-files.txt
asset	xray-config	/opt/security-assets/templates/xray
asset	amass-config	/opt/security-assets/templates/amass
asset	gau-config	/opt/security-assets/templates/gau/.gau.toml
asset	cent-nuclei-templates	/opt/security-assets/templates/cent-nuclei-templates
asset	hermes-chromium	/opt/browser-tools/chromium
asset	hermes-firefox	/opt/browser-tools/firefox
asset	cyberstrike-hackbrowser-worker	/opt/security-tools/cyberstrike/hackbrowser-worker.js
asset	cyberstrike-playwright-runtime	/opt/security-tools/cyberstrike/node_modules/playwright/package.json
asset	cyberstrike-vector-kb	/usr/local/share/hermes/knowledge/cyberstrike/cyberstrike-kb.sqlite3
asset	workstation-vector-kb	/usr/local/share/hermes/knowledge/offensive-workstation/workstation-kb.sqlite3
asset	oh-my-zsh	/opt/oh-my-zsh/oh-my-zsh.sh
asset	portable-zsh-config	/etc/zsh/portable.zshrc
asset	hermes-pentesting-skill	/usr/local/share/hermes/skills/cybersecurity/offensive-workstation/SKILL.md
path	save-payload-note	/usr/local/bin/save-payload-note
